filename,label
Image_1.jpg,Bioflu
Image_2.jpg,Bactidol
Image_3.jpg,Fish Oil
Image_4.jpg,Fish Oil
Image_5.jpg,Bioflu
Image_6.jpg,Alaxan
Image_7.jpg,Fish Oil
Image_8.jpg,Neozep
Image_9.jpg,Biogesic
Image_10.jpg,Fish Oil
Image_11.jpg,Bioflu
Image_12.jpg,Neozep
Image_13.jpg,Fish Oil
Image_14.jpg,Alaxan
Image_15.jpg,Kremil S
Image_16.jpg,Biogesic
Image_17.jpg,Decolgen
Image_18.jpg,Decolgen
Image_19.jpg,Bioflu
Image_20.jpg,DayZinc
Image_21.jpg,Biogesic
Image_22.jpg,Biogesic
Image_23.jpg,Alaxan
Image_24.jpg,Kremil S
Image_25.jpg,Bactidol
Image_26.jpg,Bioflu
Image_27.jpg,Medicol
Image_28.jpg,Bactidol
Image_29.jpg,DayZinc
Image_30.jpg,Decolgen
Image_31.jpg,Fish Oil
Image_32.jpg,Fish Oil
Image_33.jpg,Neozep
Image_34.jpg,Kremil S
Image_35.jpg,DayZinc
Image_36.jpg,DayZinc
Image_37.jpg,DayZinc
Image_38.jpg,Neozep
Image_39.jpg,Neozep
Image_40.jpg,Bioflu
Image_41.jpg,Neozep
Image_42.jpg,Fish Oil
Image_43.jpg,Medicol
Image_44.jpg,DayZinc
Image_45.jpg,Decolgen
Image_46.jpg,Biogesic
Image_47.jpg,Medicol
Image_48.jpg,Medicol
Image_49.jpg,Kremil S
Image_50.jpg,Biogesic
Image_51.jpg,DayZinc
Image_52.jpg,Medicol
Image_53.jpg,Fish Oil
Image_54.jpg,Medicol
Image_55.jpg,Bioflu
Image_56.jpg,Fish Oil
Image_57.jpg,Biogesic
Image_58.jpg,Biogesic
Image_59.jpg,Medicol
Image_60.jpg,DayZinc
Image_61.jpg,DayZinc
Image_62.jpg,DayZinc
Image_63.jpg,Kremil S
Image_64.jpg,Medicol
Image_65.jpg,Decolgen
Image_66.jpg,Kremil S
Image_67.jpg,Decolgen
Image_68.jpg,DayZinc
Image_69.jpg,Kremil S
Image_70.jpg,Neozep
Image_71.jpg,Biogesic
Image_72.jpg,Decolgen
Image_73.jpg,Biogesic
Image_74.jpg,Bactidol
Image_75.jpg,Alaxan
Image_76.jpg,Medicol
Image_77.jpg,Decolgen
Image_78.jpg,Biogesic
Image_79.jpg,Biogesic
Image_80.jpg,Bactidol
Image_81.jpg,DayZinc
Image_82.jpg,Biogesic
Image_83.jpg,Medicol
Image_84.jpg,Fish Oil
Image_85.jpg,Fish Oil
Image_86.jpg,Biogesic
Image_87.jpg,Kremil S
Image_88.jpg,Bioflu
Image_89.jpg,Bactidol
Image_90.jpg,Fish Oil
Image_91.jpg,Neozep
Image_92.jpg,Decolgen
Image_93.jpg,Kremil S
Image_94.jpg,Alaxan
Image_95.jpg,Bactidol
Image_96.jpg,Decolgen
Image_97.jpg,Biogesic
Image_98.jpg,Bioflu
Image_99.jpg,Kremil S
Image_100.jpg,DayZinc
Image_101.jpg,DayZinc
